CDA 19/21,CA135087J884
Date,Closing Price
1/2/2020,100.07
1/3/2020,100.09
1/6/2020,100.12
1/7/2020,100.10
1/8/2020,100.08
1/9/2020,100.07
1/10/2020,100.04
1/13/2020,100.04
1/14/2020,100.02
1/15/2020,100.06
