CDA 2026,CA135087E679
Date,Closing Price
1/2/2020,99.28
1/3/2020,99.49
1/6/2020,99.67
1/7/2020,99.57
1/8/2020,99.56
1/9/2020,99.29
1/10/2020,99.28
1/13/2020,99.25
1/14/2020,99.37
1/15/2020,99.54
