CDA 2021 01.06,CA135087UE28
Date,Closing Price
1/2/2020,111.06
1/3/2020,111.07
1/6/2020,111.08
1/7/2020,111.03
1/8/2020,111.01
1/9/2020,110.89
1/10/2020,110.86
1/13/2020,110.82
1/14/2020,110.82
1/15/2020,110.80
