CANADA 19/22,CA135087K601
Date,Closing Price
1/2/2020,99.69
1/3/2020,99.74
1/6/2020,99.78
1/7/2020,99.76
1/8/2020,99.76
1/9/2020,99.71
1/10/2020,99.68
1/13/2020,99.67
1/14/2020,99.67
1/15/2020,99.70
