CDA 2025,CA135087D507
Date,Closing Price
1/2/2020,103.29
1/3/2020,103.49
1/6/2020,103.65
1/7/2020,103.54
1/8/2020,103.55
1/9/2020,103.33
1/10/2020,103.30
1/13/2020,103.26
1/14/2020,103.36
1/15/2020,103.53
