CANADA 19/21,CA135087K296
Date,Closing Price
1/2/2020,99.73
1/3/2020,99.76
1/6/2020,99.79
1/7/2020,99.76
1/8/2020,99.75
1/9/2020,99.72
1/10/2020,99.70
1/13/2020,99.68
1/14/2020,99.70
1/15/2020,99.72
