CDA 2021,CA135087F254
Date,Closing Price
1/2/2020,98.89
1/3/2020,98.93
1/6/2020,98.95
1/7/2020,98.94
1/8/2020,98.92
1/9/2020,98.92
1/10/2020,98.88
1/13/2020,98.90
1/14/2020,98.90
1/15/2020,98.93
