CDA 19/24,CA135087J967
Date,Closing Price
1/2/2020,98.72
1/3/2020,98.95
1/6/2020,99.29
1/7/2020,99.11
1/8/2020,99.25
1/9/2020,98.99
1/10/2020,99.03
1/13/2020,99.06
1/14/2020,98.99
1/15/2020,99.10
