CDA 2028,CA135087H235
Date,Closing Price
1/2/2020,102.84
1/3/2020,103.21
1/6/2020,103.45
1/7/2020,103.34
1/8/2020,103.27
1/9/2020,102.85
1/10/2020,103.07
1/13/2020,102.90
1/14/2020,103.15
1/15/2020,103.34
