CDA 2021,CA135087J629
Date,Closing Price
1/2/2020,100.55
1/3/2020,100.58
1/6/2020,100.60
1/7/2020,100.59
1/8/2020,100.57
1/9/2020,100.56
1/10/2020,100.52
1/13/2020,100.53
1/14/2020,100.52
1/15/2020,100.54
