CDA 2021,CA135087F585
Date,Closing Price
1/2/2020,98.41
1/3/2020,98.45
1/6/2020,98.49
1/7/2020,98.46
1/8/2020,98.46
1/9/2020,98.43
1/10/2020,98.43
1/13/2020,98.38
1/14/2020,98.41
1/15/2020,98.42
